,icd_code,icd_code_desc,icd_code_desc_de
72799,B21,,Bösartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
72800,B22,,Sonstige näher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
72801,B23,,Sonstige Krankheitszustände infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
72802,B230,,Akutes HIV-Infektionssyndrom
72803,B238,,Sonstige näher bezeichnete Krankheitszustände infolge HIV-Krankheit
72804,B24,,Nicht näher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
72805,B25,,Zytomegalie
72806,B2580,,Infektion des Verdauungstraktes durch Zytomegalieviren
72807,B2588,,Sonstige Zytomegalie
72808,B26,,Mumps
72809,B268,,Mumps mit sonstigen Komplikationen
72810,B27,,Infektiöse Mononukleose
72811,B270,,Mononukleose durch Gamma-Herpesviren
72812,B271,,Mononukleose durch Zytomegalieviren
72813,B278,,Sonstige infektiöse Mononukleose
72814,B279,,"Infektiöse Mononukleose, nicht näher bezeichnet"
72815,B30,,Viruskonjunktivitis
72816,B33,,"Sonstige Viruskrankheiten, anderenorts nicht klassifiziert"
72817,B332,,Karditis durch Viren
72818,B34,,Viruskrankheit nicht näher bezeichneter Lokalisation
72819,B35,,Dermatophytose [Tinea]
72820,B36,,Sonstige oberflächliche Mykosen
72821,B37,,Kandidose
72822,B374,,Kandidose an sonstigen Lokalisationen des Urogenitalsystems
72823,B378,,Kandidose an sonstigen Lokalisationen
72824,B3788,,Kandidose an sonstigen Lokalisationen
72825,B38,,Kokzidioidomykose
72826,B388,,Sonstige Formen der Kokzidioidomykose
72827,B39,,Histoplasmose
72828,B40,,Blastomykose
72829,B408,,Sonstige Formen der Blastomykose
72830,B41,,Parakokzidioidomykose
72831,B42,,Sporotrichose
72832,B428,,Sonstige Formen der Sporotrichose
72833,B43,,Chromomykose und chromomykotischer Abszess
72834,B44,,Aspergillose
72835,B448,,Sonstige Formen der Aspergillose
72836,B45,,Kryptokokkose
72837,B46,,Zygomykose
72838,B47,,Myzetom
72839,B48,,"Sonstige Mykosen, anderenorts nicht klassifiziert"
72840,B485,,Pneumozystose
72841,B487,,Mykosen durch opportunistisch-pathogene Pilze
72842,B50,,Malaria tropica durch Plasmodium falciparum
72843,B51,,Malaria tertiana durch Plasmodium vivax
72844,B52,,Malaria quartana durch Plasmodium malariae
72845,B53,,Sonstige parasitologisch bestätigte Malaria
72846,B55,,Leishmaniose
72847,B56,,Afrikanische Trypanosomiasis
72848,B57,,Chagas-Krankheit
72849,B573,,Chagas-Krankheit (chronisch) mit Beteiligung des Verdauungssystems
72850,B574,,Chagas-Krankheit (chronisch) mit Beteiligung des Nervensystems
72851,B58,,Toxoplasmose
72852,B580,,Augenerkrankung durch Toxoplasmen
72853,B588,,Toxoplasmosen mit Beteiligung sonstiger Organe
72854,B60,,"Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert"
72855,B600,,Babesiose
72856,B601,,Akanthamöbiasis
72857,B65,,Schistosomiasis [Bilharziose]
72858,B66,,Befall durch sonstige Trematoden [Egel]
72859,B67,,Echinokokkose
72860,B673,,Echinococcus-granulosus-Infektion [zystische Echinokokkose] an mehreren und sonstigen Lokalisationen
72861,B676,,Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose] an mehreren und sonstigen Lokalisationen
72862,B679,,Sonstige und nicht näher bezeichnete Echinokokkose
72863,B68,,Taeniasis
72864,B69,,Zystizerkose
72865,B698,,Zystizerkose an sonstigen Lokalisationen
72866,B70,,Diphyllobothriose und Sparganose
72867,B71,,Befall durch sonstige Zestoden
72868,B73,,Onchozerkose
72869,B74,,Filariose
72870,B76,,Hakenwurm-Krankheit
72871,B77,,Askaridose
72872,B778,,Askaridose mit sonstigen Komplikationen
72873,B78,,Strongyloidiasis
72874,B81,,"Sonstige intestinale Helminthosen, anderenorts nicht klassifiziert"
72875,B82,,Nicht näher bezeichneter intestinaler Parasitismus
72876,B83,,Sonstige Helminthosen
72877,B85,,Pedikulose [Läusebefall] und Phthiriasis [Filzläusebefall]
72878,B87,,Myiasis
72879,B878,,Myiasis an sonstigen Lokalisationen
72880,B88,,Sonstiger Parasitenbefall der Haut
72881,B90,,Folgezustände der Tuberkulose
72882,B94,,Folgezustände sonstiger und nicht näher bezeichneter infektiöser und parasitärer Krankheiten
72883,B95,,"Streptokokken und Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72884,B9541,,"Streptokokken, Gruppe C, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72885,B9542,,"Streptokokken, Gruppe G, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72886,B9548,,"Sonstige näher bezeichnete Streptokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72887,B956,,"Staphylococcus aureus als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72888,B959,,"Sonstige näher bezeichnete grampositive Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72889,B9590,,"Sonstige näher bezeichnete grampositive aerobe Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72890,B9591,,"Sonstige näher bezeichnete grampositive anaerobe, nicht sporenbildende Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72891,B96,,"Sonstige näher bezeichnete Bakterien als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72892,B962,,"Escherichia coli [E. coli] und andere Enterobacterales als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72893,B968,,"Sonstige näher bezeichnete Bakterien als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72894,B97,,"Viren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72895,B971,,"Enteroviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72896,B972,,"Coronaviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72897,B973,,"Retroviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72898,B978,,"Sonstige Viren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72899,B98,,"Sonstige näher bezeichnete infektiöse Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72900,B980,,"Helicobacter pylori [H. pylori] als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72901,B981,,"Vibrio vulnificus als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
72902,B99,,Sonstige und nicht näher bezeichnete Infektionskrankheiten
72903,C00,,Bösartige Neubildung der Lippe
72904,C02,,Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Zunge
72905,C03,,Bösartige Neubildung des Zahnfleisches
72906,C04,,Bösartige Neubildung des Mundbodens
72907,C05,,Bösartige Neubildung des Gaumens
72908,C06,,Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Mundes
72909,C068,,"Bösartige Neubildung: Sonstige und nicht näher bezeichnete Teile des Mundes, mehrere Teilbereiche überlappend"
72910,C08,,Bösartige Neubildung sonstiger und nicht näher bezeichneter großer Speicheldrüsen
72911,C088,,"Bösartige Neubildung: Große Speicheldrüsen, mehrere Teilbereiche überlappend"
72912,C09,,Bösartige Neubildung der Tonsille
72913,C10,,Bösartige Neubildung des Oropharynx
72914,C11,,Bösartige Neubildung des Nasopharynx
72915,C13,,Bösartige Neubildung des Hypopharynx
72916,C14,,"Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen der Lippe, der Mundhöhle und des Pharynx"
72917,C15,,Bösartige Neubildung des Ösophagus
72918,C150,,Bösartige Neubildung: Zervikaler Ösophagus
72919,C151,,Bösartige Neubildung: Thorakaler Ösophagus
72920,C152,,Bösartige Neubildung: Abdominaler Ösophagus
72921,C16,,Bösartige Neubildung des Magens
72922,C17,,Bösartige Neubildung des Dünndarmes
72923,C18,,Bösartige Neubildung des Kolons
72924,C21,,Bösartige Neubildung des Anus und des Analkanals
72925,C22,,Bösartige Neubildung der Leber und der intrahepatischen Gallengänge
72926,C24,,Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Gallenwege
72927,C25,,Bösartige Neubildung des Pankreas
72928,C26,,Bösartige Neubildung sonstiger und ungenau bezeichneter Verdauungsorgane
72929,C268,,"Bösartige Neubildung: Verdauungssystem, mehrere Teilbereiche überlappend"
72930,C30,,Bösartige Neubildung der Nasenhöhle und des Mittelohres
72931,C31,,Bösartige Neubildung der Nasennebenhöhlen
72932,C32,,Bösartige Neubildung des Larynx
72933,C34,,Bösartige Neubildung der Bronchien und der Lunge
72934,C340,,Bösartige Neubildung: Hauptbronchus
72935,C341,,Bösartige Neubildung: Oberlappen (-Bronchus)
72936,C343,,Bösartige Neubildung: Unterlappen (-Bronchus)
72937,C348,,"Bösartige Neubildung: Bronchus und Lunge, mehrere Teilbereiche überlappend"
72938,C349,,"Bösartige Neubildung: Bronchus oder Lunge, nicht näher bezeichnet"
72939,C38,,"Bösartige Neubildung des Herzens, des Mediastinums und der Pleura"
72940,C39,,Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen des Atmungssystems und sonstiger intrathorakaler Organe
72941,C398,,"Bösartige Neubildung: Atmungsorgane und sonstige intrathorakale Organe, mehrere Teilbereiche überlappend"
72942,C40,,Bösartige Neubildung des Knochens und des Gelenkknorpels der Extremitäten
72943,C400,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Skapula und lange Knochen der oberen Extremität
72944,C401,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der oberen Extremität
72945,C402,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Lange Knochen der unteren Extremität
72946,C403,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der unteren Extremität
72947,C408,,"Bösartige Neubildung: Knochen und Gelenkknorpel der Extremitäten, mehrere Teilbereiche überlappend"
72948,C409,,"Bösartige Neubildung: Knochen und Gelenkknorpel einer Extremität, nicht näher bezeichnet"
72949,C41,,Bösartige Neubildung des Knochens und des Gelenkknorpels sonstiger und nicht näher bezeichneter Lokalisationen
72950,C4101,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Kraniofazial
72951,C4102,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Maxillofazial
72952,C4130,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Rippen
72953,C4131,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Sternum
72954,C4132,,Bösartige Neubildung des Knochens und des Gelenkknorpels: Klavikula
72955,C418,,"Bösartige Neubildung: Knochen und Gelenkknorpel, mehrere Teilbereiche überlappend"
72956,C43,,Bösartiges Melanom der Haut
72957,C431,,"Bösartiges Melanom des Augenlides, einschließlich Kanthus"
72958,C432,,Bösartiges Melanom des Ohres und des äußeren Gehörganges
72959,C433,,Bösartiges Melanom sonstiger und nicht näher bezeichneter Teile des Gesichtes
72960,C435,,Bösartiges Melanom des Rumpfes
72961,C436,,"Bösartiges Melanom der oberen Extremität, einschließlich Schulter"
72962,C437,,"Bösartiges Melanom der unteren Extremität, einschließlich Hüfte"
72963,C44,,Sonstige bösartige Neubildungen der Haut
72964,C440,,Sonstige bösartige Neubildungen: Lippenhaut
72965,C441,,"Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus"
72966,C442,,Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges
72967,C443,,Sonstige bösartige Neubildungen: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes
72968,C444,,Sonstige bösartige Neubildungen: Behaarte Kopfhaut und Haut des Halses
72969,C445,,Sonstige bösartige Neubildungen: Haut des Rumpfes
72970,C446,,"Sonstige bösartige Neubildungen: Haut der oberen Extremität, einschließlich Schulter"
72971,C447,,"Sonstige bösartige Neubildungen: Haut der unteren Extremität, einschließlich Hüfte"
72972,C448,,"Sonstige bösartige Neubildungen: Haut, mehrere Teilbereiche überlappend"
72973,C449,,"Bösartige Neubildung der Haut, nicht näher bezeichnet"
72974,C45,,Mesotheliom
72975,C46,,Kaposi-Sarkom [Sarcoma idiopathicum multiplex haemorrhagicum]
72976,C468,,Kaposi-Sarkom mehrerer Organe
72977,C47,,Bösartige Neubildung der peripheren Nerven und des autonomen Nervensystems
72978,C471,,"Bösartige Neubildung: Periphere Nerven der oberen Extremität, einschließlich Schulter"
72979,C472,,"Bösartige Neubildung: Periphere Nerven der unteren Extremität, einschließlich Hüfte"
72980,C48,,Bösartige Neubildung des Retroperitoneums und des Peritoneums
72981,C49,,Bösartige Neubildung sonstigen Bindegewebes und anderer Weichteilgewebe
72982,C491,,"Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der oberen Extremität, einschließlich Schulter"
72983,C492,,"Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der unteren Extremität, einschließlich Hüfte"
72984,C50,,Bösartige Neubildung der Brustdrüse [Mamma]
72985,C500,,Bösartige Neubildung: Brustwarze und Warzenhof
72986,C501,,Bösartige Neubildung: Zentraler Drüsenkörper der Brustdrüse
72987,C502,,Bösartige Neubildung: Oberer innerer Quadrant der Brustdrüse
72988,C503,,Bösartige Neubildung: Unterer innerer Quadrant der Brustdrüse
72989,C504,,Bösartige Neubildung: Oberer äußerer Quadrant der Brustdrüse
72990,C505,,Bösartige Neubildung: Unterer äußerer Quadrant der Brustdrüse
72991,C506,,Bösartige Neubildung: Recessus axillaris der Brustdrüse
72992,C508,,"Bösartige Neubildung: Brustdrüse, mehrere Teilbereiche überlappend"
72993,C509,,"Bösartige Neubildung: Brustdrüse, nicht näher bezeichnet"
72994,C51,,Bösartige Neubildung der Vulva
72995,C53,,Bösartige Neubildung der Cervix uteri
72996,C54,,Bösartige Neubildung des Corpus uteri
72997,C56,,Bösartige Neubildung des Ovars
72998,C57,,Bösartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane
72999,C570,,Bösartige Neubildung: Tuba uterina [Falloppio]
73000,C571,,Bösartige Neubildung: Lig. latum uteri
73001,C572,,Bösartige Neubildung: Lig. teres uteri
73002,C60,,Bösartige Neubildung des Penis
73003,C62,,Bösartige Neubildung des Hodens
73004,C620,,Bösartige Neubildung: Dystoper Hoden
73005,C621,,Bösartige Neubildung: Deszendierter Hoden
73006,C629,,"Bösartige Neubildung: Hoden, nicht näher bezeichnet"
73007,C63,,Bösartige Neubildung sonstiger und nicht näher bezeichneter männlicher Genitalorgane
73008,C630,,Bösartige Neubildung: Nebenhoden [Epididymis]
73009,C631,,Bösartige Neubildung: Samenstrang
73010,C64,,"Bösartige Neubildung der Niere, ausgenommen Nierenbecken"
73011,C65,,Bösartige Neubildung des Nierenbeckens
73012,C66,,Bösartige Neubildung des Ureters
73013,C67,,Bösartige Neubildung der Harnblase
73014,C68,,Bösartige Neubildung sonstiger und nicht näher bezeichneter Harnorgane
73015,C69,,Bösartige Neubildung des Auges und der Augenanhangsgebilde
73016,C690,,Bösartige Neubildung: Konjunktiva
73017,C691,,Bösartige Neubildung: Kornea
73018,C692,,Bösartige Neubildung: Retina
73019,C693,,Bösartige Neubildung: Chorioidea
73020,C694,,Bösartige Neubildung: Ziliarkörper
73021,C695,,Bösartige Neubildung: Tränendrüse und Tränenwege
73022,C696,,Bösartige Neubildung: Orbita
73023,C698,,"Bösartige Neubildung: Auge und Augenanhangsgebilde, mehrere Teilbereiche überlappend"
73024,C699,,"Bösartige Neubildung: Auge, nicht näher bezeichnet"
73025,C70,,Bösartige Neubildung der Meningen
73026,C71,,Bösartige Neubildung des Gehirns
73027,C72,,"Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems"
73028,C722,,Bösartige Neubildung: Nn. olfactorii [I. Hirnnerv]
73029,C723,,Bösartige Neubildung: N. opticus [II. Hirnnerv]
73030,C724,,Bösartige Neubildung: N. vestibulocochlearis [VIII. Hirnnerv]
73031,C725,,Bösartige Neubildung: Sonstige und nicht näher bezeichnete Hirnnerven
73032,C728,,"Bösartige Neubildung: Gehirn und andere Teile des Zentralnervensystems, mehrere Teilbereiche überlappend"
73033,C74,,Bösartige Neubildung der Nebenniere
73034,C740,,Bösartige Neubildung: Nebennierenrinde
73035,C741,,Bösartige Neubildung: Nebennierenmark
73036,C749,,"Bösartige Neubildung: Nebenniere, nicht näher bezeichnet"
73037,C75,,Bösartige Neubildung sonstiger endokriner Drüsen und verwandter Strukturen
73038,C76,,Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen
73039,C764,,Bösartige Neubildung ungenau bezeichneter Lokalisationen: Obere Extremität
73040,C765,,Bösartige Neubildung ungenau bezeichneter Lokalisationen: Untere Extremität
73041,C767,,Bösartige Neubildung: Sonstige ungenau bezeichnete Lokalisationen
73042,C77,,Sekundäre und nicht näher bezeichnete bösartige Neubildung der Lymphknoten
73043,C78,,Sekundäre bösartige Neubildung der Atmungs- und Verdauungsorgane
73044,C780,,Sekundäre bösartige Neubildung der Lunge
73045,C783,,Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Atmungsorgane
73046,C788,,Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Verdauungsorgane
