,icd_code,icd_code_desc_de
64,A079,"Darmkrankheit durch Protozoen, nicht näher bezeichnet"
65,A08,Virusbedingte und sonstige näher bezeichnete Darminfektionen
66,A080,Enteritis durch Rotaviren
67,A081,Akute Gastroenteritis durch Norovirus
68,A082,Enteritis durch Adenoviren
69,A083,Enteritis durch sonstige Viren
70,A084,"Virusbedingte Darminfektion, nicht näher bezeichnet"
71,A085,Sonstige näher bezeichnete Darminfektionen
72,A09,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs
73,A090,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs
74,A099,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs
75,A15,"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
76,A150,"Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren"
77,A151,"Lungentuberkulose, nur durch Kultur gesichert"
78,A152,"Lungentuberkulose, histologisch gesichert"
79,A153,"Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert"
80,A154,"Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert"
81,A155,"Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert"
82,A156,"Tuberkulöse Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert"
83,A157,"Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
84,A158,"Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
85,A159,"Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
86,A16,"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
87,A160,"Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
88,A161,"Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt"
89,A162,"Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
90,A163,"Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
91,A164,"Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
92,A165,"Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
93,A167,"Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
94,A168,"Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
95,A169,"Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
96,A17,Tuberkulose des Nervensystems
97,A170,Tuberkulöse Meningitis
98,A171,Meningeales Tuberkulom
99,A178,Sonstige Tuberkulose des Nervensystems
100,A179,"Tuberkulose des Nervensystems, nicht näher bezeichnet"
101,A18,Tuberkulose sonstiger Organe
102,A180,Tuberkulose der Knochen und Gelenke
103,A181,Tuberkulose des Urogenitalsystems
104,A182,Tuberkulose peripherer Lymphknoten
105,A183,"Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten"
106,A184,Tuberkulose der Haut und des Unterhautgewebes
107,A185,Tuberkulose des Auges
108,A186,Tuberkulose des Ohres
109,A187,Tuberkulose der Nebennieren
110,A188,Tuberkulose sonstiger näher bezeichneter Organe
111,A19,Miliartuberkulose
112,A190,Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation
113,A191,Akute Miliartuberkulose mehrerer Lokalisationen
114,A192,"Akute Miliartuberkulose, nicht näher bezeichnet"
115,A198,Sonstige Miliartuberkulose
116,A199,"Miliartuberkulose, nicht näher bezeichnet"
117,A20,Pest
118,A200,Bubonenpest
119,A201,Hautpest
120,A202,Lungenpest
121,A203,Pestmeningitis
122,A207,Pestsepsis
123,A208,Sonstige Formen der Pest
124,A209,"Pest, nicht näher bezeichnet"
125,A21,Tularämie
126,A210,Ulzeroglanduläre Tularämie
127,A211,Okuloglanduläre Tularämie
128,A212,Pulmonale Tularämie
129,A213,Gastrointestinale Tularämie
130,A217,Generalisierte Tularämie
131,A218,Sonstige Formen der Tularämie
132,A219,"Tularämie, nicht näher bezeichnet"
133,A22,Anthrax [Milzbrand]
134,A220,Hautmilzbrand
135,A221,Lungenmilzbrand
136,A222,Darmmilzbrand
137,A227,Milzbrandsepsis
138,A228,Sonstige Formen des Milzbrandes
139,A229,"Milzbrand, nicht näher bezeichnet"
140,A23,Brucellose
141,A230,Brucellose durch Brucella melitensis
142,A231,Brucellose durch Brucella abortus
143,A232,Brucellose durch Brucella suis
144,A233,Brucellose durch Brucella canis
145,A238,Sonstige Brucellose
146,A239,"Brucellose, nicht näher bezeichnet"
147,A24,Rotz [Malleus] und Melioidose [Pseudorotz]
148,A240,Rotz
149,A241,Akute oder fulminante Melioidose
150,A242,Subakute oder chronische Melioidose
151,A243,Sonstige Melioidose
152,A244,"Melioidose, nicht näher bezeichnet"
153,A25,Rattenbisskrankheiten
154,A250,Spirillen-Rattenbisskrankheit
155,A251,Streptobazillen-Rattenbisskrankheit
156,A259,"Rattenbisskrankheit, nicht näher bezeichnet"
157,A26,Erysipeloid
158,A260,Haut-Erysipeloid
159,A267,Erysipelothrix-Sepsis
160,A268,Sonstige Formen des Erysipeloids
161,A269,"Erysipeloid, nicht näher bezeichnet"
162,A27,Leptospirose
163,A270,Leptospirosis icterohaemorrhagica [Weil-Krankheit]
164,A278,Sonstige Formen der Leptospirose
165,A279,"Leptospirose, nicht näher bezeichnet"
166,A28,"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert"
167,A280,Pasteurellose
168,A281,Katzenkratzkrankheit
169,A282,Extraintestinale Yersiniose
170,A288,"Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert"
171,A289,"Bakterielle Zoonose, nicht näher bezeichnet"
172,A30,Lepra [Aussatz]
173,A300,Indeterminierte Lepra
174,A301,Tuberkuloide Lepra
175,A302,Borderline-tuberkuloide Lepra
176,A303,Borderline-Lepra
177,A304,Borderline-lepromatöse Lepra
178,A305,Lepromatöse Lepra
179,A308,Sonstige Formen der Lepra
180,A309,"Lepra, nicht näher bezeichnet"
181,A31,Infektion durch sonstige Mykobakterien
182,A310,Infektion der Lunge durch sonstige Mykobakterien
183,A311,Infektion der Haut durch sonstige Mykobakterien
184,A318,Sonstige Infektionen durch Mykobakterien
185,A3180,Disseminierte atypische Mykobakteriose
186,A3188,Sonstige Infektionen durch Mykobakterien
187,A319,"Infektion durch Mykobakterien, nicht näher bezeichnet"
188,A32,Listeriose
189,A320,Kutane Listeriose
190,A321,Meningitis und Meningoenzephalitis durch Listerien
191,A327,Listeriensepsis
192,A328,Sonstige Formen der Listeriose
193,A329,"Listeriose, nicht näher bezeichnet"
194,A33,Tetanus neonatorum
195,A34,"Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes"
196,A35,Sonstiger Tetanus
197,A36,Diphtherie
198,A360,Rachendiphtherie
199,A361,Nasenrachendiphtherie
200,A362,Kehlkopfdiphtherie
201,A363,Hautdiphtherie
202,A368,Sonstige Diphtherie
203,A369,"Diphtherie, nicht näher bezeichnet"
204,A37,Keuchhusten
205,A370,Keuchhusten durch Bordetella pertussis
206,A371,Keuchhusten durch Bordetella parapertussis
207,A378,Keuchhusten durch sonstige Bordetella-Spezies
208,A379,"Keuchhusten, nicht näher bezeichnet"
209,A38,Scharlach
210,A39,Meningokokkeninfektion
211,A390,Meningokokkenmeningitis
212,A391,Waterhouse-Friderichsen-Syndrom
213,A392,Akute Meningokokkensepsis
214,A393,Chronische Meningokokkensepsis
215,A394,"Meningokokkensepsis, nicht näher bezeichnet"
216,A395,Herzkrankheit durch Meningokokken
217,A398,Sonstige Meningokokkeninfektionen
218,A399,"Meningokokkeninfektion, nicht näher bezeichnet"
219,A40,Streptokokkensepsis
220,A400,"Sepsis durch Streptokokken, Gruppe A"
221,A401,"Sepsis durch Streptokokken, Gruppe B"
222,A402,"Sepsis durch Streptokokken, Gruppe D, und Enterokokken"
223,A403,Sepsis durch Streptococcus pneumoniae
224,A408,Sonstige Sepsis durch Streptokokken
225,A409,"Sepsis durch Streptokokken, nicht näher bezeichnet"
226,A41,Sonstige Sepsis
227,A410,Sepsis durch Staphylococcus aureus
228,A411,Sepsis durch sonstige näher bezeichnete Staphylokokken
229,A412,Sepsis durch nicht näher bezeichnete Staphylokokken
230,A413,Sepsis durch Haemophilus influenzae
231,A414,Sepsis durch Anaerobier
232,A415,Sepsis durch sonstige gramnegative Erreger
233,A4151,Sepsis: Escherichia coli [E. coli]
234,A4152,Sepsis: Pseudomonas
235,A4158,Sepsis: Sonstige gramnegative Erreger
236,A418,Sonstige näher bezeichnete Sepsis
237,A419,"Sepsis, nicht näher bezeichnet"
238,A42,Aktinomykose
239,A420,Aktinomykose der Lunge
240,A421,Abdominale Aktinomykose
241,A422,Zervikofaziale Aktinomykose
242,A427,Aktinomykotische Sepsis
243,A428,Sonstige Formen der Aktinomykose
244,A429,"Aktinomykose, nicht näher bezeichnet"
245,A43,Nokardiose
246,A430,Pulmonale Nokardiose
247,A431,Nokardiose der Haut
248,A438,Sonstige Formen der Nokardiose
249,A439,"Nokardiose, nicht näher bezeichnet"
250,A44,Bartonellose
251,A440,Systemische Bartonellose
252,A441,Kutane und mukokutane Bartonellose
253,A448,Sonstige Formen der Bartonellose
254,A449,"Bartonellose, nicht näher bezeichnet"
255,A46,Erysipel [Wundrose]
256,A48,"Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert"
257,A480,Gasbrand [Gasödem]
258,A481,Legionellose mit Pneumonie
259,A482,Legionellose ohne Pneumonie [Pontiac-Fieber]
260,A483,Syndrom des toxischen Schocks
261,A484,Brazilian purpuric fever
262,A488,Sonstige näher bezeichnete bakterielle Krankheiten
263,A49,Bakterielle Infektion nicht näher bezeichneter Lokalisation
264,A490,Staphylokokkeninfektion nicht näher bezeichneter Lokalisation
265,A491,Streptokokken- und Enterokokkeninfektion nicht näher bezeichneter Lokalisation
266,A492,Infektion durch Haemophilus influenzae nicht näher bezeichneter Lokalisation
267,A493,Mykoplasmeninfektion nicht näher bezeichneter Lokalisation
268,A498,Sonstige bakterielle Infektionen nicht näher bezeichneter Lokalisation
269,A499,"Bakterielle Infektion, nicht näher bezeichnet"
270,A50,Syphilis connata
271,A500,Floride konnatale Frühsyphilis
272,A501,Latente konnatale Frühsyphilis
273,A502,"Konnatale Frühsyphilis, nicht näher bezeichnet"
274,A503,Konnatale spätsyphilitische Augenkrankheit
275,A504,Konnatale spätauftretende Neurosyphilis [Juvenile Neurosyphilis]
276,A505,Sonstige Formen der floriden konnatalen Spätsyphilis
277,A506,Latente konnatale Spätsyphilis
278,A507,"Konnatale Spätsyphilis, nicht näher bezeichnet"
279,A509,"Syphilis connata, nicht näher bezeichnet"
280,A51,Frühsyphilis
281,A510,Primärer syphilitischer Genitalaffekt
282,A511,Analer Primäraffekt bei Syphilis
283,A512,"Primäraffekt bei Syphilis, sonstige Lokalisationen"
284,A513,Sekundäre Syphilis der Haut und der Schleimhäute
285,A514,Sonstige sekundäre Syphilis
286,A515,Latente Frühsyphilis
287,A519,"Frühsyphilis, nicht näher bezeichnet"
288,A52,Spätsyphilis
289,A520,Kardiovaskuläre Syphilis
290,A521,Floride Neurosyphilis
291,A522,Asymptomatische Neurosyphilis
292,A523,"Neurosyphilis, nicht näher bezeichnet"
293,A527,Sonstige floride Spätsyphilis
294,A528,Latente Spätsyphilis
295,A529,"Spätsyphilis, nicht näher bezeichnet"
296,A53,Sonstige und nicht näher bezeichnete Syphilis
297,A530,"Latente Syphilis, nicht als früh oder spät bezeichnet"
298,A539,"Syphilis, nicht näher bezeichnet"
299,A54,Gonokokkeninfektion
300,A540,Gonokokkeninfektion des unteren Urogenitaltraktes ohne periurethralen Abszess oder Abszess der Glandulae urethrales
301,A541,Gonokokkeninfektion des unteren Urogenitaltraktes mit periurethralem Abszess oder Abszess der Glandulae urethrales
302,A542,Pelviperitonitis durch Gonokokken und Gonokokkeninfektionen sonstiger Urogenitalorgane
303,A543,Gonokokkeninfektion des Auges
304,A544,Gonokokkeninfektion des Muskel-Skelett-Systems
305,A545,Gonokokkenpharyngitis
306,A546,Gonokokkeninfektion des Anus und des Rektums
307,A548,Sonstige Gonokokkeninfektionen
308,A549,"Gonokokkeninfektion, nicht näher bezeichnet"
309,A55,Lymphogranuloma inguinale (venereum) durch Chlamydien
310,A56,Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten
311,A560,Chlamydieninfektion des unteren Urogenitaltraktes
312,A561,Chlamydieninfektion des Pelviperitoneums und sonstiger Urogenitalorgane
313,A562,"Chlamydieninfektion des Urogenitaltraktes, nicht näher bezeichnet"
314,A563,Chlamydieninfektion des Anus und des Rektums
315,A564,Chlamydieninfektion des Pharynx
316,A568,Durch Geschlechtsverkehr übertragene Chlamydieninfektion an sonstigen Lokalisationen
317,A57,Ulcus molle (venereum)
318,A58,Granuloma venereum (inguinale)
319,A59,Trichomoniasis
320,A590,Trichomoniasis urogenitalis
321,A598,Sonstige Lokalisationen der Trichomoniasis
322,A599,"Trichomoniasis, nicht näher bezeichnet"
323,A60,Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]
324,A600,Infektion der Genitalorgane und des Urogenitaltraktes durch Herpesviren
325,A601,Infektion der Perianalhaut und des Rektums durch Herpesviren
326,A609,"Infektion des Anogenitalbereiches durch Herpesviren, nicht näher bezeichnet"
327,A63,"Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert"
328,A630,Anogenitale (venerische) Warzen
329,A638,"Sonstige näher bezeichnete, vorwiegend durch Geschlechtsverkehr übertragene Krankheiten"
330,A64,"Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet"
331,A65,Nichtvenerische Syphilis
332,A66,Frambösie
333,A660,Primärläsion bei Frambösie
334,A661,Multiple Papillome und Krabbenframbösie
335,A662,Sonstige Hautläsionen im Frühstadium der Frambösie
336,A663,Hyperkeratose bei Frambösie
337,A664,Gummata und Ulzera bei Frambösie
338,A665,Gangosa
339,A666,Knochen- und Gelenkveränderungen bei Frambösie
340,A667,Sonstige Manifestationen bei Frambösie
341,A668,Latente Frambösie
342,A669,"Frambösie, nicht näher bezeichnet"
343,A67,Pinta [Carate]
344,A670,Primärläsion bei Pinta
345,A671,Zwischenstadium der Pinta
346,A672,Spätstadium der Pinta
347,A673,Mischformen der Pinta
348,A679,"Pinta, nicht näher bezeichnet"
349,A68,Rückfallfieber
350,A680,Durch Läuse übertragenes Rückfallfieber
351,A681,Durch Zecken übertragenes Rückfallfieber
352,A689,"Rückfallfieber, nicht näher bezeichnet"
353,A69,Sonstige Spirochäteninfektionen
354,A690,Nekrotisierend-ulzeröse Stomatitis
355,A691,Sonstige Fusospirochätosen
356,A692,Lyme-Krankheit
357,A698,Sonstige näher bezeichnete Spirochäteninfektionen
358,A699,"Spirochäteninfektion, nicht näher bezeichnet"
359,A70,Infektionen durch Chlamydia psittaci
360,A71,Trachom
361,A710,Initialstadium des Trachoms
362,A711,Aktives Stadium des Trachoms
363,A719,"Trachom, nicht näher bezeichnet"
364,A74,Sonstige Krankheiten durch Chlamydien
365,A740,Chlamydienkonjunktivitis
366,A748,Sonstige Chlamydienkrankheiten
367,A749,"Chlamydieninfektion, nicht näher bezeichnet"
368,A75,Fleckfieber
369,A750,Epidemisches Fleckfieber durch Rickettsia prowazeki
370,A751,Fleckfieber-Spätrezidiv [Brill-Krankheit]
371,A752,Fleckfieber durch Rickettsia typhi [Rickettsia mooseri]
372,A753,Fleckfieber durch Rickettsia tsutsugamushi [Rickettsia orientalis]
373,A759,"Fleckfieber, nicht näher bezeichnet"
374,A77,"Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen]"
375,A770,Zeckenbissfieber durch Rickettsia rickettsii
376,A771,Zeckenbissfieber durch Rickettsia conori
377,A772,Zeckenbissfieber durch Rickettsia sibirica
378,A773,Zeckenbissfieber durch Rickettsia australis
379,A778,Sonstige Zeckenbissfieber
380,A779,"Zeckenbissfieber, nicht näher bezeichnet"
381,A78,Q-Fieber
382,A79,Sonstige Rickettsiosen
383,A790,Wolhynisches Fieber
384,A791,Rickettsienpocken durch Rickettsia akari
385,A798,Sonstige näher bezeichnete Rickettsiosen
386,A799,"Rickettsiose, nicht näher bezeichnet"
387,A80,Akute Poliomyelitis [Spinale Kinderlähmung]
388,A800,Akute paralytische Poliomyelitis durch Impfvirus
389,A801,Akute paralytische Poliomyelitis durch importiertes Wildvirus
390,A802,Akute paralytische Poliomyelitis durch einheimisches Wildvirus
391,A803,Sonstige und nicht näher bezeichnete akute paralytische Poliomyelitis
392,A804,Akute nichtparalytische Poliomyelitis
393,A809,"Akute Poliomyelitis, nicht näher bezeichnet"
394,A81,Atypische Virusinfektionen des Zentralnervensystems
395,A810,Creutzfeldt-Jakob-Krankheit
396,A811,Subakute sklerosierende Panenzephalitis
397,A812,Progressive multifokale Leukenzephalopathie
398,A818,Sonstige atypische Virusinfektionen des Zentralnervensystems
399,A819,"Atypische Virusinfektion des Zentralnervensystems, nicht näher bezeichnet"
400,A82,Tollwut [Rabies]
401,A820,Wildtier-Tollwut
402,A821,Haustier-Tollwut
403,A829,"Tollwut, nicht näher bezeichnet"
404,A83,"Virusenzephalitis, durch Moskitos [Stechmücken] übertragen"
405,A830,Japanische Enzephalitis
406,A831,Westliche Pferdeenzephalitis [Western-Equine-Encephalitis]
407,A832,Östliche Pferdeenzephalitis [Eastern-Equine-Encephalitis]
408,A833,St.-Louis-Enzephalitis
409,A834,Australische Enzephalitis
410,A835,Kalifornische Enzephalitis
411,A836,Rocio-Virusenzephalitis
412,A838,"Sonstige Virusenzephalitis, durch Moskitos übertragen"
413,A839,"Virusenzephalitis, durch Moskitos übertragen, nicht näher bezeichnet"
414,A84,"Virusenzephalitis, durch Zecken übertragen"
415,A840,"Fernöstliche Enzephalitis, durch Zecken übertragen [Russische Frühsommer-Enzephalitis]"
416,A841,"Mitteleuropäische Enzephalitis, durch Zecken übertragen"
417,A848,"Sonstige Virusenzephalitis, durch Zecken übertragen"
418,A849,"Virusenzephalitis, durch Zecken übertragen, nicht näher bezeichnet"
419,A85,"Sonstige Virusenzephalitis, anderenorts nicht klassifiziert"
420,A850,Enzephalitis durch Enteroviren
421,A851,Enzephalitis durch Adenoviren
422,A852,"Virusenzephalitis, durch Arthropoden übertragen, nicht näher bezeichnet"
423,A858,Sonstige näher bezeichnete Virusenzephalitis
424,A86,"Virusenzephalitis, nicht näher bezeichnet"
425,A87,Virusmeningitis
426,A870,Meningitis durch Enteroviren
427,A871,Meningitis durch Adenoviren
428,A872,Lymphozytäre Choriomeningitis
429,A878,Sonstige Virusmeningitis
430,A879,"Virusmeningitis, nicht näher bezeichnet"
431,A88,"Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert"
432,A880,Fieber und Exanthem durch Enteroviren [Boston-Exanthem]
433,A881,Epidemischer Schwindel
434,A888,Sonstige näher bezeichnete Virusinfektionen des Zentralnervensystems
435,A89,"Virusinfektion des Zentralnervensystems, nicht näher bezeichnet"
436,A92,Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten
437,A920,Chikungunya-Viruskrankheit
438,A921,O'Nyong-nyong-Fieber
439,A922,Venezolanisches Pferdefieber
440,A923,West-Nil-Virusinfektion
441,A924,Rifttalfieber
442,A925,Zika-Viruskrankheit
443,A928,"Sonstige näher bezeichnete, durch Moskitos übertragene Viruskrankheiten"
444,A929,"Durch Moskitos übertragene Viruskrankheit, nicht näher bezeichnet"
445,A93,"Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert"
446,A930,Oropouche-Viruskrankheit
447,A931,Pappataci-Fieber
448,A932,Colorado-Zeckenfieber
449,A938,"Sonstige näher bezeichnete, durch Arthropoden übertragene Viruskrankheiten"
450,A94,"Durch Arthropoden übertragene Viruskrankheit, nicht näher bezeichnet"
451,A95,Gelbfieber
452,A950,Buschgelbfieber
453,A951,Urbanes Gelbfieber
454,A959,"Gelbfieber, nicht näher bezeichnet"
455,A96,Hämorrhagisches Fieber durch Arenaviren
456,A960,Hämorrhagisches Fieber durch Junin-Viren
457,A961,Hämorrhagisches Fieber durch Machupo-Viren
458,A962,Lassa-Fieber
459,A968,Sonstiges hämorrhagisches Fieber durch Arenaviren
460,A969,"Hämorrhagisches Fieber durch Arenaviren, nicht näher bezeichnet"
461,A97,Dengue
462,A970,Dengue ohne Warnzeichen
463,A971,Dengue mit Warnzeichen
464,A972,Schweres Dengue
465,A979,"Dengue, nicht näher bezeichnet"
466,A98,"Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert"
467,A980,Hämorrhagisches Krim-Kongo-Fieber
468,A981,Hämorrhagisches Omsk-Fieber
469,A982,Kyasanur-Wald-Krankheit
470,A983,Marburg-Viruskrankheit
471,A984,Ebola-Viruskrankheit
472,A985,Hämorrhagisches Fieber mit renalem Syndrom
473,A988,Sonstige näher bezeichnete hämorrhagische Viruskrankheiten
474,A99,Nicht näher bezeichnete hämorrhagische Viruskrankheit
475,B00,Infektionen durch Herpesviren [Herpes simplex]
476,B000,Ekzema herpeticatum Kaposi
477,B001,Dermatitis vesicularis durch Herpesviren
478,B002,Gingivostomatitis herpetica und Pharyngotonsillitis herpetica
479,B003,Meningitis durch Herpesviren
480,B004,Enzephalitis durch Herpesviren
481,B005,Augenkrankheit durch Herpesviren
482,B007,Disseminierte Herpesvirus-Krankheit
483,B008,Sonstige Infektionsformen durch Herpesviren
484,B009,"Infektion durch Herpesviren, nicht näher bezeichnet"
485,B01,Varizellen [Windpocken]
486,B010,Varizellen-Meningitis
487,B011,Varizellen-Enzephalitis
488,B012,Varizellen-Pneumonie
489,B018,Varizellen mit sonstigen Komplikationen
490,B019,Varizellen ohne Komplikation
491,B02,Zoster [Herpes zoster]
492,B020,Zoster-Enzephalitis
493,B021,Zoster-Meningitis
494,B022,Zoster mit Beteiligung anderer Abschnitte des Nervensystems
495,B023,Zoster ophthalmicus
496,B027,Zoster generalisatus
497,B028,Zoster mit sonstigen Komplikationen
498,B029,Zoster ohne Komplikation
499,B03,Pocken
500,B04,Affenpocken
501,B05,Masern
502,B050,"Masern, kompliziert durch Enzephalitis"
503,B051,"Masern, kompliziert durch Meningitis"
504,B052,"Masern, kompliziert durch Pneumonie"
505,B053,"Masern, kompliziert durch Otitis media"
506,B054,Masern mit Darmkomplikationen
507,B058,Masern mit sonstigen Komplikationen
508,B059,Masern ohne Komplikation
509,B06,Röteln [Rubeola] [Rubella]
510,B060,Röteln mit neurologischen Komplikationen
511,B068,Röteln mit sonstigen Komplikationen
512,B069,Röteln ohne Komplikation
513,B07,Viruswarzen
514,B08,"Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert"
515,B080,Sonstige Infektionen durch Orthopoxviren
516,B081,Molluscum contagiosum
517,B082,Exanthema subitum [Sechste Krankheit]
518,B083,Erythema infectiosum [Fünfte Krankheit]
519,B084,Vesikuläre Stomatitis mit Exanthem durch Enteroviren
520,B085,Vesikuläre Pharyngitis durch Enteroviren
521,B088,"Sonstige näher bezeichnete Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind"
522,B09,"Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist"
523,B15,Akute Virushepatitis A
524,B150,Virushepatitis A mit Coma hepaticum
525,B159,Virushepatitis A ohne Coma hepaticum
526,B16,Akute Virushepatitis B
527,B160,Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) und mit Coma hepaticum
528,B161,Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) ohne Coma hepaticum
529,B162,Akute Virushepatitis B ohne Delta-Virus mit Coma hepaticum
530,B169,Akute Virushepatitis B ohne Delta-Virus und ohne Coma hepaticum
